//  GERMAN STRDAT.TXT latest version with all the changes up to Sept 18th (I hope)

//  ASCII European Special Characters
//  Ä ¸ Ç É ‰ ...  á à  ä  ç ƒ  ê  " ï - -  ÷ ‹    ° ¢ £  ﬂ
//  WIN European Special Characters
//  « ¸ È ‚ ‰ ‡  Á Í  Ë  Ï ƒ  …  ˆ Ú ˚ ˘  ÷ ‹  ﬂ Ì Û ˙  ﬂ

//  # the first NEWBLOCK is built for you so start with enumerations and strings
//  GERMAN VERSION ¸berarbeitet am 2.7.97 von Antje, 16:45 Uhr
//  last revised by Antje 9.7.97, LAST EDITED with additional translations August 26th 97
//  (additional data from birthright cd dated 8/17/97, saved as ms dos text
//  3 more changes according to bugreport from sascha implemented August 29th 97
// comparing german strings to english strings (received sept 18th), saved as text only



// menu data
STR_UI_ACTN		UI\\ACT_PNL.PCX
STR_UI_HELP		UI\\HELPPNL1.PCX
STR_UI_HELP1	UI\\HLPPANL2.PCX
STR_RELIC_DESC_SWORD_OF_ROELE	+2 (10%) zu Treffer, +2 zu Schaden w‰hrend eines Kampfs f¸r den, der es tr‰gt.
STR_RELIC_NAME_SCEPTRE_OF_CUIRAECEN	Szepter v. Cuiraecen
STR_RELIC_DESC_SCEPTRE_OF_CUIRAECEN	+1 zu Angriff f¸r alle Armeen. Einmal pro Abenteuer einen Blitz schleudern, d. 12-96 Punkte Schaden anrichtet.
STR_RELIC_NAME_CORGANDALS_STAFF	Corgandals Transportstab
STR_RELIC_DESC_CORGANDALS_STAFF	Weniger Quellen und Regentenpunkte nˆtig f¸r den Transport-Gebietszauber.
STR_RELIC_NAME_NAPPOLANS_TOME_OF_WAR	Nappolans Buch d. Krieges
STR_RELIC_DESC_NAPPOLANS_TOME_OF_WAR	Kosten f¸r Truppenbewegungen sinken.
STR_RELIC_NAME_VAUBENELS_BOOK_OF_FORTIFICATION	Vaubenels Befestigungsbuch
STR_RELIC_DESC_VAUBENELS_BOOK_OF_FORTIFICATION	Befestigungskosten sinken.
STR_RELIC_NAME_TORC_OF_SPLENDOR	Band d. Ruhms
STR_RELIC_DESC_TORC_OF_SPLENDOR	Besitzer bekommt ein Charisma von 18.
STR_RELIC_NAME_DANICAS_CRYSTAL_OF_SCRYING	Danicas Kristall d. Sehens
STR_RELIC_DESC_DANICAS_CRYSTAL_OF_SCRYING	Alle versteckten Truppen werden sichtbar.
STR_RELIC_NAME_TOME_OF_THE_PRINCE	Buch des Prinzen
STR_RELIC_DESC_TOME_OF_THE_PRINCE	+25% bei Kampfaktionen (solange getragen).

//this isn't in the game...
STR_ITEM_NAME_POTION_OF_POISON_CURE	Trank der Heilung von Vergiftungen

//most wizard spells
NEWBLOCK

STR_SPELL_NAME_DETECT_MAGIC	Magie entdecken
STR_SPELL_DESC_DETECT_MAGIC	Zeigt alle magischen Gegenst‰nde im Radius von 60'.
STR_SPELL_NAME_FEATHER_FALL	Federfall
//description and activation strings of amulet of feather fall item used.

STR_SPELL_NAME_JUMP	Springen
STR_SPELL_DESC_JUMP	Dreifache Sprungweite.
STR_ACTIVATE_JUMPx3	Ihre Sprungweite hat sich verdreifacht.
STR_DEACTIVATE_JUMPx3	Ihre Sprungweite ist wieder normal.

STR_SPELL_NAME_LIGHT	Licht
STR_SPELL_DESC_LIGHT	Erleuchtet die Gegend um die Party.
STR_ACTIVATE_LIGHT	Das Licht ist besser geworden.
STR_DEACTIVATE_LIGHT	Es ist wieder dunkler.

STR_SPELL_NAME_MAGIC_MISSILE	Magisches Geschoﬂ
STR_SPELL_DESC_MAGIC_MISSILE	Feuert Geschosse (1 pro 2 Stufen, max. 5), von denen jedes 2-5 Punkte Schaden anrichtet. In der SCHLACHT: Falle.
STR_SPELL_NAME_REDUCE	Verkleinern
STR_SPELL_DESC_REDUCE	Grˆﬂe und St‰rke der Party halbieren sich.
STR_SPELL_NAME_SHOCKING_GRASP	Schockgriff
STR_SPELL_DESC_SHOCKING_GRASP	1-8 Schaden, plus 1 je Stufe des Magiers.

STR_SPELL_NAME_BLINDNESS	Blindheit
STR_SPELL_DESC_BLINDNESS	Kreatur erblindet (-20% Chance zu treffen; +20% Chance, getroffen zu werden).
STR_ACTIVATE_BLINDNESS	Sie haben den Gegner mit Blindheit geschlagen.
STR_DEACTIVATE_BLINDNESS	Der Blindheits-Zauber ist vor¸ber.

STR_SPELL_NAME_CONTINUAL_LIGHT	Dauerhaftes Licht
STR_SPELL_DESC_CONTINUAL_LIGHT	Erleuchtet das Gebiet um die Party.
STR_SPELL_NAME_KNOCK	Knacken
STR_SPELL_DESC_KNOCK	÷ffnet T¸ren, auch magisch verschlossene.

STR_SPELL_NAME_LEVITATE	Schweben
STR_SPELL_DESC_LEVITATE	Die F¸ﬂe der Party ber¸hren den Boden nicht.
STR_ACTIVATE_LEVITATE	Sie kˆnnen nun schweben.
STR_DEACTIVATE_LEVITATE	Sie kˆnnen nicht mehr schweben.

STR_SPELL_NAME_LOCATE_OBJECT	Objekt suchen
STR_SPELL_DESC_LOCATE_OBJECT	Zeigt auf der Karte an, wo sich das gesuchte Objekt befindet.
STR_ACTIVATE_LOCATEOBJECT	Das gesuchte Objekt ist jetzt auf der Karte eingezeichnet.
STR_DEACTIVATE_LOCATEOBJECT	Sie haben das gesuchte Objekt aus den Augen verloren.
STR_MAP_QUEST_OBJECT	Ges. Objekt
STR_MAP_QUEST_OBJECT_FIEND	Ges. Objekt (D‰mon)

STR_SPELL_NAME_POISON_ARROW	Morelfs Giftpfeil 
STR_SPELL_DESC_POISON_ARROW	Mag. Pfeil, verurs. 2-8 Punkte Schaden, plus 1-4 Punkte f¸r jede Stufe ¸ber der zweiten. SCHLACHT: Falle.

STR_SPELL_NAME_STRENGTH	St‰rke
STR_SPELL_DESC_STRENGTH	Partymitglied bek. 1-8 St‰rke, wenn es ein K‰mpfer ist, 1-6 als Dieb oder Priester, 1-4 als Magier.
STR_ACTIVATE_STRENGTH	Sie f¸hlen sich gest‰rkt.
STR_DEACTIVATE_STRENGTH	Ihre St‰rke ist wieder wie ¸blich.

STR_SPELL_NAME_FIREBALL	Feuerball
STR_SPELL_DESC_FIREBALL	Kreaturen in betr. Gebiet nehmen 1-6 Punkte Schaden pro Stufe des Magiers (bis zur zehnten). SCHLACHT: In die Flucht schlagen.

STR_SPELL_NAME_FLY	Fliegen
STR_SPELL_DESC_FLY	Party kann fliegen.


STR_SPELL_NAME_STONE_UNDEAD	Untoten versteinern
STR_SPELL_DESC_STONE_UNDEAD	Verwandelt Untoten zu Stein.

STR_SPELL_NAME_INFRAVISION	Infravision
STR_SPELL_DESC_INFRAVISION	Wer es benutzt, kann mittels Infravision sehen.
STR_ACTIVATE_INFRAVISION	Sie kˆnnen nun Hitzequellen sehen.
STR_DEACTIVATE_INFRAVISION	Ihre Sicht ist wieder wie ¸blich.

STR_SPELL_NAME_LIGHTNING_BOLT	Blitzstrahl
STR_SPELL_DESC_LIGHTNING_BOLT	Opfer erleidet elektrischen Schaden von 1-6 pro Stufe des Magiers (bis zur zehnten). SCHLACHT: Falle.

STR_SPELL_NAME_CONFUSION	Verwirrung
STR_SPELL_DESC_CONFUSION	Kreaturen bleiben stehen oder laufen weg.
STR_DUDE_ALREADY_CONFUSED	Der Feind ist bereits verwirrt.
STR_ACTIVATE_CONFUSION	Sie haben Ihren Feind verwirrt.
STR_DEACTIVATE_CONFUSION	Ihr Verwirrungs-Zauber wirkt nicht mehr.

STR_SPELL_NAME_ICE_STORM	Eisiger Sturm
STR_SPELL_DESC_ICE_STORM	Opfer erleidet 3-30 Punkte Schaden durch K‰lte. SCHLACHT: Falle.
STR_SPELL_NAME_MINOR_GLOBE_INVULN	Kleine Kugel der Unverwundbarkeit
STR_SPELL_DESC_MINOR_GLOBE_INVULN	Zauber der Stufen 1 bis 3 verursachen der Party keinen Schaden.

STR_SPELL_NAME_STONESKIN	Steinhaut
STR_SPELL_DESC_STONESKIN	Magier bekommt Grund-RK 2 (Schutz 40%).
STR_ACTIVATE_STONESKIN	Ihre Haut wird hart wie Stein.
STR_DEACTIVATE_STONESKIN	Ihre Haut ist wieder normal.

STR_SPELL_NAME_CONE_OF_COLD	K‰ltekegel
STR_SPELL_DESC_CONE_OF_COLD	Diese K‰lte richtet 3-6 Punkte Schaden pro Stufe des Magiers an. SCHLACHT: In die Flucht schlagen 
STR_SPELL_NAME_DISINTIGRATE	Zerfall
STR_SPELL_DESC_DISINTIGRATE	Ziel lˆst sich auf, sofern Rettungswurf gegen Zauber nicht erfolgreich.
STR_SPELL_NAME_TELEPORT	Teleportation
STR_SPELL_DESC_MAP_TELEPORT	Bringt Party an gew‰hlte Stelle.
STR_SPELL_NAME_CHAIN_LIGHTNING	Kugelblitz
STR_SPELL_DESC_CHAIN_LIGHTNING	Elektrische Energie, die mehrere Ziele erfaﬂt. SCHLACHT: Zerstˆrung. 
STR_SPELL_NAME_DEATH	Todeszauber
STR_SPELL_DESC_DEATH	Zerbrˆselt Opfer zu Staub. SCHLACHT: Zerstˆren 
STR_SPELL_NAME_GLOBE_INVULN	Kugel d. Unverwundbarkeit
STR_SPELL_DESC_GLOBE_INVULN	Zauber des 1. bis 4. Grades richten an der Party keinen Schaden an.
STR_ACTIVATE_GLOBE_INVULN_3	Sie sind durch Zauber der Grade 1 bis 3 nicht zu verwunden.
STR_ACTIVATE_GLOBE_INVULN_4	Sie sind durch Zauber der Grade 1 bis 4 nicht zu verwunden.
STR_DEACTIVATE_GLOBE_INVULN	Sie sind wieder durch Zauber zu verwunden.
STR_SPELL_NAME_FLESH_TO_STONE	Fleisch zu Stein
STR_SPELL_DESC_FLESH_TO_STONE	Verwandelt Opfer in Stein.
STR_SPELL_NAME_IMPROVED_FIREBAL	Verbesserter Feuerball
STR_SPELL_DESC_IMPROVED_FIREBAL	Kreaturen in betroffenem Gebiet erleiden Schaden von 1-6 Punkten pro Stufe des Magiers. SCHLACHT: Zerstˆren 

//Last wizard spells, and all priest spells
NEWBLOCK

STR_SPELL_NAME_POWER_STUN	Wort d. Macht: L‰hmung
STR_SPELL_DESC_POWER_STUN	Kreatur torkelt, kann nicht k‰mpfen. SCHLACHT: Kein Angriff 
STR_SPELL_NAME_POWER_BLIND	Wort der Macht: Blindheit
STR_SPELL_DESC_POWER_BLIND	Monster erblinden (max. 100 TP).
STR_SPELL_NAME_SPELL_IMMUNITY	Immun. gegen Zauber
STR_SPELL_DESC_SPELL_IMMUNITY	+5 (25%) zu allen Zauber-Rettungen.
STR_ACTIVATE_SPELL_IMMUNE	Sie sind gegen Magie widerstandsf‰higer geworden.
STR_DEACTIVATE_SPELL_IMMUNE	Die Wirkung des Zaubers ist vorbei.
STR_SPELL_NAME_METEOR_SWARM	Meteorschwarm
STR_SPELL_DESC_METEOR_SWARM	Alle Kreaturen auf dem Weg des Meteors erleiden einen Schaden von 10-40. SCHLACHT: Zerstˆren 
STR_SPELL_NAME_POWER_KILL	Wort der Macht: Tod
STR_SPELL_DESC_POWER_KILL	Opfer (max. 60 TP) f‰llt tot um. SCHLACHT: Zerstˆren
STR_SPELL_NAME_TIME_STOP	Zeitstopp
STR_SPELL_DESC_TIME_STOP	Alles friert ein, nur die Party kann sich ungehindert bewegen, jedoch nichts mitnehmen.
STR_SPELL_NAME_CURE_LIGHT	Kleine Wundheilung 
STR_SPELL_DESC_CURE_LIGHT	Heilung des Ziels um 1-8 TP.

STR_SPELL_NAME_DETECT_EVIL	Bˆses entdecken
STR_SPELL_DESC_DETECT_EVIL	Bˆse Kreaturen / Gegenst‰nde werden auf der Karte angezeigt.
STR_ACTIVATE_MAP_HIGHLIGHT_EVIL	Sie kˆnnen nun bˆse Kreaturen und Gegenst‰nde auf der Karte erkennen.
STR_DEACTIVATE_MAP_HIGHLIGHT_EVIL	Die Wirkung ist vorbei.

STR_SPELL_NAME_DETECT_MAGIC_PR	Magie entdecken
STR_SPELL_DESC_DETECT_MAGIC_PR	Magische Kreaturen und Gegenst‰nde werden auf der Karte angezeigt.
STR_ACTIVATE_MAP_HIGHLIGHT_MAGIC	Sie kˆnnen nun magische Kreaturen und Gegenst‰nde auf der Karte sehen.
STR_DEACTIVATE_MAP_HIGHLIGHT_MAGIC	Die Wirkung ist vor¸ber.


STR_SPELL_NAME_LIGHT_PR	Licht
STR_SPELL_DESC_LIGHT_PR	Erleuchtet die Gegend um die Party.
STR_SPELL_NAME_SHILLELAGH	Kn¸ppel
STR_SPELL_DESC_SHILLELAGH	Priester bekommt +1 (5%) zu Treffern und +1 zu Schaden.
STR_ACTIVATE_SHILLELAGH	Ihre Waffe ist nun von einer magischen Aura umgeben.
STR_DEACTIVATE_SHILLELAGH	Ihre Waffe ist wieder normal.
STR_SPELL_NAME_TURN_UNDEAD	Untote schlagen
STR_SPELL_DESC_TURN_UNDEAD	Untotes Opfer erleidet 1-6 Schaden pro Stufe des Magiers.

STR_SPELL_NAME_BARKSKIN	Rindenhaut
STR_SPELL_DESC_BARKSKIN	RK des Zaubernden sinkt auf 6 (Schutz 20%), minus 1 (plus 5 %) pro 4 Stufen.
STR_ACTIVATE_BARKSKIN	Ihre Haut wird hart und widerstandsf‰hig.
STR_DEACTIVATE_BARKSKIN	Ihre Haut wird wieder zart und verletzbar.

STR_SPELL_NAME_FIND_TRAPS	Fallen entdecken
STR_SPELL_DESC_FIND_TRAPS	Alle Fallen im Umkreis werden auf der Karte angezeigt.
STR_ACTIVATE_MAP_HIGHLIGHT_TRAPS	Sie kˆnnen nun die Fallen auf der Karte erkennen.
STR_DEACTIVATE_MAP_HIGHLIGHT_TRAPS	Die Wirkung ist wieder weg.

STR_SPELL_NAME_FIND_TREASURE	Sch‰tze entdecken
STR_SPELL_DESC_FIND_TREASURE	Sch‰tze im Umkreis werden auf der Karte angezeigt.
STR_ACTIVATE_MAP_HIGHLIGHT_TREASURE	Sie kˆnnen nun die Sch‰tze auf der Karte erkennen.
STR_DEACTIVATE_MAP_HIGHLIGHT_TREASURE	Die Wirkung ist vorbei.


STR_SPELL_NAME_RESIST_FIRE	Feuer widerstehen
STR_SPELL_DESC_RESIST_FIRE	W‰hrend die Wirkung anh‰lt, kann Feuer keinen Schaden anrichten.
STR_ACTIVATE_RESISTFIRE	Feuer kann Ihnen nichts mehr anhaben.
STR_DEACTIVATE_RESISTFIRE	Feuer kann wieder Schaden anrichten.

STR_SPELL_NAME_SPIRITUAL_HAMMER	Geistiger Hammer
STR_SPELL_DESC_SPIRITUAL_HAMMER	Opfer erleidet Schaden von 1-6, +1 pro zwei Stufen des Priesters.

STR_SPELL_NAME_MAGICAL_VESTAMENT	Magisches Gewand
STR_SPELL_DESC_MAGICAL_VESTAMENT	RK des Zaubernden geht auf 5 (Schutz 25%), minus 1 (plus 5 %) pro drei Stufen, bis zu einem Maximum von 0 (50%).
STR_ACTIVATE_MAGICALVEST	Ihr Kˆrper wird hart und widerstandsf‰hig.
STR_DEACTIVATE_MAGICALVEST	Ihr Kˆrper ist wieder wie ¸blich.

STR_SPELL_NAME_WATER_WALK	Wasserwandern
STR_SPELL_NAME_CURE_SERIOUS	Groﬂe Wundheilung
STR_SPELL_DESC_CURE_SERIOUS	Heilt um 3-17 TP.

STR_SPELL_NAME_PROT_FROM_EVIL	Schutz vor Bˆsem
STR_SPELL_DESC_PROT_FROM_EVIL	Chancen der Bˆsen, die Party zu treffen -2 (10%), Rettung der Party +2 (10 %).
STR_ACTIVATE_PROTFROMEVIL	Die Party wird vor dem Bˆsen gesch¸tzt.
STR_DEACTIVATE_PROTFROMEVIL	Der Schutz gegen das Bˆse ist verschwunden.

STR_SPELL_NAME_CURE_CRITICAL	M‰chtige Heilung
STR_SPELL_DESC_CURE_CRITICAL	Heilung um 6-27 TP.
STR_SPELL_NAME_FLAME_STRIKE	Flammenschlag
STR_SPELL_DESC_FLAME_STRIKE	Flammens‰ule umschlieﬂt das Opfer und richtet 6-48 Schaden an. SCHLACHT: Falle.

STR_SPELL_NAME_TRUE_SEEING	Wahrer Blick
STR_SPELL_DESC_SHOW_ALL_MAP	Die ganze Karte wird sichtbar.
STR_ACTIVATE_MAPSHOWALL	Sie kˆnnen nun die gesamte Karte sehen.
STR_DEACTIVATE_MAPSHOWALL	Sie kˆnnen nun nicht mehr die ganze Karte sehen.

STR_SPELL_NAME_HEAL	Heilung
STR_SPELL_DESC_HEAL	Der Geheilte erh‰lt die volle Anzahl TP. 
STR_ACTIVATE_HEAL	TP wiederhergestellt.

STR_ITEM_UI_TARGET	Ziel
STR_ITEM_UI_TARGET_QUESTION	Wen soll es betreffen?

STR_SPELL_NAME_FIRE_STORM	Feuersturm
STR_SPELL_DESC_FIRE_STORM	Kreaturen im Zielbereich erleiden Schaden von 1-8 pro Stufe.
STR_SPELL_NAME_HOLY_WORD	Heiliges Wort
STR_SPELL_DESC_HOLY_WORD	Alle Untoten werden gebannt. Charaktere und Monster mit anderer Gesinnung als der des Zaubernden erleiden 5-40 Schaden. SCHLACHT: Zerstˆren 
STR_SPELL_NAME_RESURRECTION	Wiederbelebung
STR_SPELL_DESC_RESURRECTION	Partymitglied vom Tod erwecken.
STR_ITEM_UI_RESURRECTION	Wiederbelebung
STR_ITEM_UI_RESURRECTION_QUESTION	Wen mˆchten Sie wiederbeleben?


//RealmSpells, Blood Abilities, and misc
NEWBLOCK

STR_REALM_SPELL_NAME_ALCHEMY	Alchimie
STR_REALM_SPELL_DESC_ALCHEMY	Verwandelt Regentenpunkte in Gold.
STR_REALM_SPELL_NAME_DEATH_PLAGUE	Todesseuche
STR_REALM_SPELL_DESC_DEATH_PLAGUE	Stufe der Zielprovinz(en) sinkt um 1.
STR_REALM_SPELL_NAME_DEMAGOGUE	Demagoge
STR_REALM_SPELL_DESC_DEMAGOGUE	ƒndert die Loyalit‰t der Provinz(en).
STR_REALM_SPELL_NAME_DISPEL_REALM_MAGIC	Gegen-Gebietszauber
STR_REALM_SPELL_DESC_DISPEL_REALM_MAGIC	Hebt Wirkung eines anderen Gebietszaubers auf.
STR_REALM_SPELL_NAME_LEGION_OF_DEAD	Todeslegion
STR_REALM_SPELL_DESC_LEGION_OF_DEAD	Zitiert eine Einheit Skelette herbei.
STR_REALM_SPELL_NAME_MASS_DESTRUCTION	Massenvernichtung
STR_REALM_SPELL_DESC_MASS_DESTRUCTION	Zerstˆrt Truppen.
STR_REALM_SPELL_NAME_RAZE	Einebnung
STR_REALM_SPELL_DESC_RAZE	Besch‰digt Befestigung einer Burg.
STR_REALM_SPELL_NAME_SCRY	Sp‰hen
STR_REALM_SPELL_DESC_SCRY	Zeigt versteckte Einheiten an.
STR_REALM_SPELL_NAME_STRONGHOLD	St¸tzpunkt
STR_REALM_SPELL_DESC_STRONGHOLD	Verbessert Befestigung einer Burg oder baut Burg.
STR_REALM_SPELL_NAME_SUMMONING	Herbeizaubern
STR_REALM_SPELL_DESC_SUMMONING	Zaubert menschliche Truppen herbei.
STR_REALM_SPELL_NAME_TRANSPORT	Transport
STR_REALM_SPELL_DESC_TRANSPORT	Truppen kˆnnen irgendwohin bewegt werden.
STR_REALM_SPELL_NAME_WARDING	Bewachen
STR_REALM_SPELL_DESC_WARDING	Feindliche Armeen kˆnnen diese Provinz(en) nicht mehr betreten oder verlassen.
STR_REALM_SPELL_NAME_BLESS_LAND	Land segnen
STR_REALM_SPELL_DESC_BLESS_LAND	Maximiert Produktion in Provinz(en).
STR_REALM_SPELL_NAME_BLESS_ARMY	Armee segnen
STR_REALM_SPELL_DESC_BLESS_ARMY	Angriffskraft der gew‰hlten Einheit(en) steigt um 1.
STR_REALM_SPELL_NAME_BLIGHT	F‰ulnis
STR_REALM_SPELL_DESC_BLIGHT	Minimiert Produktion in Provinz(en).
STR_REALM_SPELL_NAME_HONEST_DEALING	Ehrlichkeit
STR_REALM_SPELL_DESC_HONEST_DEALING	Minimiert Produktion der Gilden, Agitation und Spionage sind in gew‰hlten Provinzen nicht mˆglich.
STR_REALM_SPELL_NAME_INVESTITURE	Investitur
STR_REALM_SPELL_DESC_INVESTITURE	‹bertr‰gt Eigentum an einer Provinz an einen anderen.

STR_BLOODAB_NAME_BATTLEWISE	Schlachtenweisheit
STR_BLOODAB_DESC_BATTLEWISE	+1 f¸r begleitende Armee bei Angriff und Verteidigung.
STR_BLOODAB_NAME_COURAGE	Mut
STR_BLOODAB_DESC_COURAGE	Alle Einheiten bestehen automatisch Moralpr¸fungen.
STR_BLOODAB_NAME_DIVINE_WRATH	Gˆttlicher Zorn
STR_BLOODAB_DESC_DEVINEWRATH	+3 (15%)zu Angriffen, +3 zu Sch‰den.
STR_BLOODAB_NAME_HEIGHTENED_ABILITY	F‰higkeit verbessern
STR_BLOODAB_DESC_HEIGHTENDAB	Verbessert einen Charakterwert.
STR_ACTIVATE_HEIGHTENEDAB	Die Attribute ihres Charakters ber¸cksichtigen bereits diesen Blutlinien-Zauber.
STR_BLOODAB_NAME_BLOODMARK	Blutzeichen
STR_BLOODAB_DESC_BLOODMARK	Charakter ist um 10% erfolgreicher in Diplomatie.
STR_BLOODAB_NAME_DETECT_ILLUSION	Illusionen erkennen
STR_BLOODAB_DESC_DETECT_ILLUSION	Illusionsw‰nde werden sichtbar.
STR_BLOODAB_NAME_DIVINE_AURA	Gˆttliche Aura
STR_BLOODAB_DESC_DIVINE_AURA	Charakter ist um 15% erfolgreicher in Diplomatie.
STR_BLOODAB_NAME_ENHANCED_SENSE	Sinnessch‰rfung
STR_BLOODAB_DESC_ENHANCED_SENSE	Charakter hat einen gesch‰rften Sinn f¸r das Bˆse oder f¸r Licht.
STR_BLOODAB_NAME_FEAR	Furcht
STR_BLOODAB_DESC_FEAR	+2 (10%) zur Rettung vor Furcht-Zauber. Furcht-Zauber kˆnnen dreimal t‰glich verwendet werden.
STR_BLOODAB_NAME_HEALING	Heilung
STR_BLOODAB_DESC_HEALING	Stellt Gesundheit wieder her.
STR_BLOODAB_NAME_IRON_WILL	Eiserner Wille
STR_BLOODAB_DESC_IRON_WILL	Charakter erh‰lt einen Bonus von 2 TP.
STR_BLOODAB_NAME_PROTECTION_FROM_EVIL	Schutz vor dem Bˆsen
STR_BLOODAB_DESC_PROTECTION_FROM_EVIL	Angriffe aller Bˆsen -2 (10%), Rettung der Party +2 (10 %).
STR_BLOODAB_NAME_REGENERATION	Regeneration
STR_BLOODAB_DESC_REGENERATION	Gesundheitszustand des Charakters verbessert sich pro Minute um 1 TP.
STR_BLOODAB_NAME_RESISTANCE	Widerstandskraft
STR_BLOODAB_DESC_RESISTANCE	50% Widerstandskraft gegen Magie.
STR_BLOODAB_NAME_TRAVEL	Reisen
STR_BLOODAB_DESC_TRAVEL	Einmal pro Abenteuer teleportieren.

STR_BLOODAB_NAME_ALERTNESS	Wachsamkeit
STR_BLOODAB_NAME_ALTER_APPEARANCE	Aussehen ver‰ndern
STR_BLOODAB_NAME_ANIMAL_AFFINITY	Tiert‰uschung
STR_BLOODAB_NAME_BLOOD_HISTORY	Geschichte des Blutes
STR_BLOODAB_NAME_CHARACTER_READING	Charakter lesen
STR_BLOODAB_NAME_DETECT_LIE	L¸gen erkennen
STR_BLOODAB_NAME_DIRECTION_SENSE	Richtungssinn
STR_BLOODAB_NAME_ELEMENTAL_CONTROL	Elementar-Kontrolle
STR_BLOODAB_NAME_PERSUASION	‹berredung
STR_BLOODAB_NAME_POISON_SENSE	Erkennung von Gift
STR_BLOODAB_NAME_SHADOW_FORM	Schattengestalt
STR_BLOODAB_NAME_TOUCH_OF_DECAY	Ber¸hrung des Zerfalls
STR_BLOODAB_NAME_UNREADABLE_THOUGHTS	Unlesbare Gedanken

STR_ITEM_CAPTIVE_1	Prinz Endaeral Cathbirn
STR_ITEM_DESC_CAPTIVE_1	Junger Adliger
STR_ITEM_CAPTIVE_2	Kˆnig Tie'skar Graecher
STR_ITEM_DESC_CAPTIVE_2	Fr¸herer Kˆnig der Goblins

STR_ABILITY_NAME_TURN_UNDEAD	Untotenschreck
STR_ABILITY_DESC_TURN_UNDEAD	Zwingt Untote und Gespenster zur Flucht oder vernichtet sie.
STR_ABILITY_NAME_LAY_ON_HANDS	H‰nde auflegen
STR_ABILITY_DESC_LAY_ON_HANDS	Heilt 2 TP pro Stufe des Paladins, funktioniert einmal pro Tag (Abenteuer).

STR_INVENTORY	Inventar
STR_ITEM_YOU_USE_THE	Sie benutzen:
STR_ITEM_ALREADY_IN_EFFECT	Dieser Gegenstand ist in Gebrauch.
STR_ITEM_ALWAYS_IN_EFFECT	Dieser Gegenstand wirkt st‰ndig.
STR_ITEM_TOO_MANY	Sie haben zu viele Objekte, um noch weitere zu nehmen!
STR_ITEM_RECIP_TOO_MANY	Derjenige, dem Sie das Objekt geben mˆchten, kann nicht mehr tragen.
STR_ITEM_CANT_PICKUP	Sie kˆnnen das nicht mitnehmen.
STR_ITEM_CANT_EQUIP	Sie kˆnnen dies nicht als Ausr¸stung verwenden.
STR_ITEM_CANT_UNEQUIP	Sie kˆnnen dies nicht von Ihrer Ausr¸stung entfernen.
STR_ITEM_CANT_DROP	Sie kˆnnen diesen Gegenstand nicht ablegen.

NEWBLOCK

STR_INVN_BUTN_DROP_BUTTON	Ablegen
STR_INVN_HELP_DROP_BUTTON	Klicken Sie hier, um den Gegenstand liegenzulassen.

STR_INVN_BUTN_GIVE_BUTTON	Geben
STR_INVN_HELP_GIVE_BUTTON	Klicken Sie hier, um den Gegenstand einem Party-Mitglied zu geben.

STR_INVN_BUTN_USE_BUTTON	Benutzen
STR_INVN_HELP_USE_BUTTON	Klicken Sie hier, um den Gegenstand zu benutzen.

STR_INVN_BUTN_ITEMS_BUTTON	Gegenst‰nde
STR_INVN_BUTN_MAGITEMS_BUTTON	Magische Gegenst‰nde
STR_INVN_BUTN_SPELLS_BUTTON	Zauber
STR_INVN_BUTN_RLMSPLS_BUTTON	Gebietszauber
STR_INVN_BUTN_BLDABL_BUTTON	Blutzauber
STR_INVN_HELP_ITEMS_BUTTON	Klicken Sie hier, um eingesammelte weltliche Gegenst‰nde zu betrachten.
STR_INVN_HELP_MAGITEMS_BUTTON	Klicken Sie hier, um eingesammelte magische Gegenst‰nde zu betrachten.
STR_INVN_HELP_SPELLS_BUTTON_ADV	Klicken Sie hier, um gelernte Zauber zu betrachten.
STR_INVN_HELP_RLMSPLS_BUTTON	Klicken Sie hier, um die Ihnen bekannten Gebietszauber anzusehen.
STR_INVN_HELP_BLDABL_BUTTON	Klicken Sie hier, um Ihre Blutlinienzauber anzusehen.
STR_INVN_HELP_SPELLS_BUTTON_PREP	Klicken Sie hier, um zu sehen, welche Zauber Sie lernen kˆnnen.

STR_INVN_BUTN_HOTBOXES	"Spezialbox"
STR_INVN_HELP_HOTBOX1	Klicken Sie auf einen Gegenstand, und dr¸cken Sie 1, um ihn in diese Box zu legen. Dr¸cken Sie w‰hrend eines Abenteuers auf 1, um ihn zu benutzen.
STR_INVN_HELP_HOTBOX2	Klicken Sie auf einen Gegenstand, und dr¸cken Sie 2, um ihn in diese Box zu legen. Dr¸cken Sie w‰hrend eines Abenteuers auf 2, um ihn zu benutzen.
STR_INVN_HELP_HOTBOX3	Klicken Sie auf einen Gegenstand, und dr¸cken Sie 3, um ihn in diese Box zu legen. Dr¸cken Sie w‰hrend eines Abenteuers auf 3, um ihn zu benutzen.
STR_INVN_HELP_HOTBOX4	Klicken Sie auf einen Gegenstand, und dr¸cken Sie 4, um ihn in diese Box zu legen. Dr¸cken Sie w‰hrend eines Abenteuers auf 4, um ihn zu benutzen.
STR_INVN_HELP_HOTBOX5	Klicken Sie auf einen Gegenstand, und dr¸cken Sie 5, um ihn in diese Box zu legen. Dr¸cken Sie w‰hrend eines Abenteuers auf 5, um ihn zu benutzen.
